SchedDep_Epoch,FlightNumDec,FlightNumber
1659274200,7.07E+13,FFT9358
1659353400,7.07E+11,FFT107
1659378300,7070845755,FFT97
1659316500,7.07E+11,FFT123
1659399960,7.07E+11,FFT119
1659364680,7.07E+11,FFT121
1659385020,7.07E+11,FFT131
1659337020,7.07E+11,FFT114
1659374460,7070845157,FFT39
1659360600,7.07E+13,FFT9358
1659396180,7.07E+11,FFT113
1659337680,7.07E+11,FFT105
1659391320,7.07E+11,FFT111
1659307320,7.07E+11,FFT113
1659376680,7.07E+11,FFT101
1659373200,7.07E+11,FFT103
1659352500,7.07E+11,FFT109
