key,value,date
Detection,15,2019-07-09
Detection,0,2019-07-09
Detection,0,2019-07-15
Detection,172,2019-07-16
Detection,0,2019-07-17
Detection,0,2019-07-18
Detection,0,2019-07-19
Detection,2,2019-07-24
Detection,0,2019-07-24
Detection,0,2019-07-25
Detection,0,2019-07-29
Detection,7,2019-07-29
Detection,673,2019-08-01
Detection,0,2019-08-01
Detection,0,2019-08-05
Detection,12,2019-08-07
Detection,0,2019-08-08
Detection,0,2019-08-09
Detection,0,2019-08-12
Detection,0,2019-08-15
Detection,3,2019-08-16
Detection,0,2019-08-19
Detection,912,2019-08-22
Detection,0,2019-08-22
Detection,0,2019-08-29
Detection,0,2019-09-06
Detection,5,2019-09-06
Detection,0,2019-09-06
Detection,1,2019-09-09
Detection,241,2019-09-11
Detection,532,2019-09-11
Detection,0,2019-09-11
Detection,0,2019-09-11
Detection,0,2019-09-13
Detection,0,2019-09-16
Detection,7,2019-09-24
Detection,30,2019-09-24
Detection,30,2019-09-25
Detection,0,2019-09-25
Detection,2,2019-09-25
Detection,12,2019-09-26
Detection,4,2019-09-26
Detection,7,2019-09-26
Detection,10,2019-09-27
Detection,0,2019-09-30
Detection,0,2019-10-04
Detection,0,2019-10-08
Detection,0,2019-10-16
Detection,25,2019-10-18
Detection,0,2019-10-30
Detection,0,2019-11-05
Detection,385,2019-11-05
Detection,7,2019-11-07
Detection,0,2019-11-07
Detection,0,2019-11-07
Detection,2,2019-11-12
Detection,2,2019-11-20
Detection,1,2019-11-20
Detection,0,2019-11-22
Detection,0,2019-12-04
Detection,962,2019-12-05
Detection,549,2019-12-11
Detection,10,2020-01-03
Detection,21,2020-01-06
Detection,19,2020-01-06
Detection,0,2020-01-06
Detection,1,2020-01-17
Detection,0,2020-01-24
Detection,123,2020-01-28
Detection,1,2020-02-06
Detection,2,2020-02-07
Detection,0,2020-02-12
Detection,0,2020-02-17
Diagnose,71,2019-07-09
Diagnose,11,2019-07-09
Diagnose,14,2019-07-15
Diagnose,240,2019-07-16
Diagnose,9,2019-07-17
Diagnose,126,2019-07-18
Diagnose,68,2019-07-19
Diagnose,20,2019-07-24
Diagnose,58,2019-07-24
Diagnose,1788,2019-07-25
Diagnose,3,2019-07-29
Diagnose,27,2019-07-29
Diagnose,117,2019-08-01
Diagnose,1064,2019-08-01
Diagnose,0,2019-08-05
Diagnose,6,2019-08-07
Diagnose,18,2019-08-08
Diagnose,466,2019-08-09
Diagnose,47,2019-08-12
Diagnose,5,2019-08-15
Diagnose,5,2019-08-16
Diagnose,70,2019-08-19
Diagnose,434,2019-08-22
Diagnose,137,2019-08-22
Diagnose,4,2019-08-29
Diagnose,128,2019-09-06
Diagnose,4,2019-09-06
Diagnose,145,2019-09-06
Diagnose,58,2019-09-09
Diagnose,5,2019-09-11
Diagnose,0,2019-09-11
Diagnose,4,2019-09-11
Diagnose,45,2019-09-11
Diagnose,1,2019-09-13
Diagnose,0,2019-09-16
Diagnose,2,2019-09-24
Diagnose,47,2019-09-24
Diagnose,520,2019-09-25
Diagnose,3,2019-09-25
Diagnose,12,2019-09-25
Diagnose,18,2019-09-26
Diagnose,0,2019-09-26
Diagnose,34,2019-09-26
Diagnose,2,2019-09-27
Diagnose,102,2019-09-30
Diagnose,184,2019-10-04
Diagnose,6,2019-10-08
Diagnose,10,2019-10-16
Diagnose,116,2019-10-18
Diagnose,41,2019-10-30
Diagnose,0,2019-11-05
Diagnose,335,2019-11-05
Diagnose,45,2019-11-07
Diagnose,0,2019-11-07
Diagnose,0,2019-11-07
Diagnose,21,2019-11-12
Diagnose,4,2019-11-20
Diagnose,172,2019-11-20
Diagnose,0,2019-11-22
Diagnose,10,2019-12-04
Diagnose,22,2019-12-05
Diagnose,11518,2019-12-11
Diagnose,1070,2020-01-03
Diagnose,24,2020-01-06
Diagnose,112,2020-01-06
Diagnose,25,2020-01-06
Diagnose,10,2020-01-17
Diagnose,8,2020-01-24
Diagnose,7,2020-01-28
Diagnose,122,2020-02-06
Diagnose,13,2020-02-07
Diagnose,91,2020-02-12
Diagnose,0,2020-02-17
Escalation,36,2019-07-09
Escalation,0,2019-07-09
Escalation,0,2019-07-15
Escalation,10,2019-07-16
Escalation,8,2019-07-17
Escalation,1,2019-07-18
Escalation,14,2019-07-19
Escalation,10,2019-07-24
Escalation,53,2019-07-24
Escalation,15,2019-07-25
Escalation,1,2019-07-29
Escalation,0,2019-07-29
Escalation,107,2019-08-01
Escalation,1054,2019-08-01
Escalation,0,2019-08-05
Escalation,1,2019-08-07
Escalation,5,2019-08-08
Escalation,0,2019-08-09
Escalation,47,2019-08-12
Escalation,0,2019-08-15
Escalation,0,2019-08-16
Escalation,30,2019-08-19
Escalation,0,2019-08-22
Escalation,1,2019-08-22
Escalation,0,2019-08-29
Escalation,10,2019-09-06
Escalation,0,2019-09-06
Escalation,0,2019-09-06
Escalation,16,2019-09-09
Escalation,0,2019-09-11
Escalation,0,2019-09-11
Escalation,4,2019-09-11
Escalation,35,2019-09-11
Escalation,1,2019-09-13
Escalation,0,2019-09-16
Escalation,1,2019-09-24
Escalation,45,2019-09-24
Escalation,0,2019-09-25
Escalation,0,2019-09-25
Escalation,12,2019-09-25
Escalation,1,2019-09-26
Escalation,0,2019-09-26
Escalation,0,2019-09-26
Escalation,2,2019-09-27
Escalation,0,2019-09-30
Escalation,155,2019-10-04
Escalation,0,2019-10-08
Escalation,10,2019-10-16
Escalation,1,2019-10-18
Escalation,1,2019-10-30
Escalation,0,2019-11-05
Escalation,35,2019-11-05
Escalation,6,2019-11-07
Escalation,0,2019-11-07
Escalation,0,2019-11-07
Escalation,2,2019-11-12
Escalation,0,2019-11-20
Escalation,79,2019-11-20
Escalation,0,2019-11-22
Escalation,0,2019-12-04
Escalation,3,2019-12-05
Escalation,8386,2019-12-11
Escalation,980,2020-01-03
Escalation,0,2020-01-06
Escalation,42,2020-01-06
Escalation,4,2020-01-06
Escalation,0,2020-01-17
Escalation,2,2020-01-24
Escalation,6,2020-01-28
Escalation,39,2020-02-06
Escalation,11,2020-02-07
Escalation,0,2020-02-12
Escalation,0,2020-02-17
Mitigation,76,2019-07-09
Mitigation,51,2019-07-09
Mitigation,29,2019-07-15
Mitigation,250,2019-07-16
Mitigation,10,2019-07-17
Mitigation,142,2019-07-18
Mitigation,314,2019-07-19
Mitigation,20,2019-07-24
Mitigation,58,2019-07-24
Mitigation,1788,2019-07-25
Mitigation,56,2019-07-29
Mitigation,27,2019-07-29
Mitigation,174,2019-08-01
Mitigation,1109,2019-08-01
Mitigation,0,2019-08-05
Mitigation,96,2019-08-07
Mitigation,134,2019-08-08
Mitigation,1386,2019-08-09
Mitigation,47,2019-08-12
Mitigation,95,2019-08-15
Mitigation,45,2019-08-16
Mitigation,515,2019-08-19
Mitigation,4375,2019-08-22
Mitigation,167,2019-08-22
Mitigation,52,2019-08-29
Mitigation,195,2019-09-06
Mitigation,16,2019-09-06
Mitigation,156,2019-09-06
Mitigation,69,2019-09-09
Mitigation,9,2019-09-11
Mitigation,0,2019-09-11
Mitigation,22,2019-09-11
Mitigation,85,2019-09-11
Mitigation,68,2019-09-13
Mitigation,70,2019-09-16
Mitigation,2,2019-09-24
Mitigation,77,2019-09-24
Mitigation,532,2019-09-25
Mitigation,5,2019-09-25
Mitigation,12,2019-09-25
Mitigation,18,2019-09-26
Mitigation,219,2019-09-26
Mitigation,375,2019-09-26
Mitigation,17,2019-09-27
Mitigation,131,2019-09-30
Mitigation,228,2019-10-04
Mitigation,17,2019-10-08
Mitigation,240,2019-10-16
Mitigation,221,2019-10-18
Mitigation,43,2019-10-30
Mitigation,0,2019-11-05
Mitigation,365,2019-11-05
Mitigation,45,2019-11-07
Mitigation,0,2019-11-07
Mitigation,0,2019-11-07
Mitigation,124,2019-11-12
Mitigation,4,2019-11-20
Mitigation,174,2019-11-20
Mitigation,356,2019-11-22
Mitigation,45,2019-12-04
Mitigation,84,2019-12-05
Mitigation,21020,2019-12-11
Mitigation,1080,2020-01-03
Mitigation,41,2020-01-06
Mitigation,139,2020-01-06
Mitigation,105,2020-01-06
Mitigation,84,2020-01-17
Mitigation,9,2020-01-24
Mitigation,31,2020-01-28
Mitigation,123,2020-02-06
Mitigation,14,2020-02-07
Mitigation,92,2020-02-12
Mitigation,0,2020-02-17
Recovery,70,2019-07-09
Recovery,140,2019-07-09
Recovery,0,2019-07-15
Recovery,237,2019-07-16
Recovery,0,2019-07-17
Recovery,14,2019-07-18
Recovery,69,2019-07-19
Recovery,290,2019-07-24
Recovery,5,2019-07-24
Recovery,30,2019-07-25
Recovery,8,2019-07-29
Recovery,6,2019-07-29
Recovery,329,2019-08-01
Recovery,0,2019-08-01
Recovery,0,2019-08-05
Recovery,17,2019-08-07
Recovery,13,2019-08-08
Recovery,0,2019-08-09
Recovery,86,2019-08-12
Recovery,22,2019-08-15
Recovery,0,2019-08-16
Recovery,0,2019-08-19
Recovery,0,2019-08-22
Recovery,0,2019-08-22
Recovery,0,2019-08-29
Recovery,0,2019-09-06
Recovery,0,2019-09-06
Recovery,7,2019-09-06
Recovery,0,2019-09-09
Recovery,6,2019-09-11
Recovery,520,2019-09-11
Recovery,0,2019-09-11
Recovery,0,2019-09-11
Recovery,8,2019-09-13
Recovery,16,2019-09-16
Recovery,1,2019-09-24
Recovery,74,2019-09-24
Recovery,66,2019-09-25
Recovery,49,2019-09-25
Recovery,2,2019-09-25
Recovery,17,2019-09-26
Recovery,1341,2019-09-26
Recovery,0,2019-09-26
Recovery,13,2019-09-27
Recovery,8,2019-09-30
Recovery,0,2019-10-04
Recovery,142,2019-10-08
Recovery,20,2019-10-16
Recovery,2688,2019-10-18
Recovery,42,2019-10-30
Recovery,0,2019-11-05
Recovery,210,2019-11-05
Recovery,110,2019-11-07
Recovery,0,2019-11-07
Recovery,0,2019-11-07
Recovery,15,2019-11-12
Recovery,14,2019-11-20
Recovery,2,2019-11-20
Recovery,0,2019-11-22
Recovery,0,2019-12-04
Recovery,10,2019-12-05
Recovery,2186,2019-12-11
Recovery,0,2020-01-03
Recovery,45,2020-01-06
Recovery,0,2020-01-06
Recovery,0,2020-01-06
Recovery,1,2020-01-17
Recovery,199,2020-01-24
Recovery,48,2020-01-28
Recovery,4,2020-02-06
Recovery,241,2020-02-07
Recovery,6,2020-02-12
Recovery,0,2020-02-17
Mttx,268,2019-07-09
Mttx,202,2019-07-09
Mttx,43,2019-07-15
Mttx,909,2019-07-16
Mttx,27,2019-07-17
Mttx,283,2019-07-18
Mttx,465,2019-07-19
Mttx,342,2019-07-24
Mttx,174,2019-07-24
Mttx,3621,2019-07-25
Mttx,68,2019-07-29
Mttx,67,2019-07-29
Mttx,1400,2019-08-01
Mttx,3227,2019-08-01
Mttx,0,2019-08-05
Mttx,132,2019-08-07
Mttx,170,2019-08-08
Mttx,1852,2019-08-09
Mttx,227,2019-08-12
Mttx,122,2019-08-15
Mttx,53,2019-08-16
Mttx,615,2019-08-19
Mttx,5721,2019-08-22
Mttx,305,2019-08-22
Mttx,56,2019-08-29
Mttx,333,2019-09-06
Mttx,25,2019-09-06
Mttx,308,2019-09-06
Mttx,144,2019-09-09
Mttx,261,2019-09-11
Mttx,1052,2019-09-11
Mttx,30,2019-09-11
Mttx,165,2019-09-11
Mttx,78,2019-09-13
Mttx,86,2019-09-16
Mttx,13,2019-09-24
Mttx,273,2019-09-24
Mttx,1148,2019-09-25
Mttx,57,2019-09-25
Mttx,40,2019-09-25
Mttx,66,2019-09-26
Mttx,1564,2019-09-26
Mttx,416,2019-09-26
Mttx,44,2019-09-27
Mttx,241,2019-09-30
Mttx,567,2019-10-04
Mttx,165,2019-10-08
Mttx,280,2019-10-16
Mttx,3051,2019-10-18
Mttx,127,2019-10-30
Mttx,0,2019-11-05
Mttx,1330,2019-11-05
