Key,Value,Date
Mitigation,76,2019-07-09
Mitigation,51,2019-07-09
Mitigation,29,2019-07-15
Mitigation,250,2019-07-16
Mitigation,10,2019-07-17
Mitigation,142,2019-07-18
Mitigation,314,2019-07-19
Mitigation,20,2019-07-24
Mitigation,58,2019-07-24
Mitigation,1788,2019-07-25
Mitigation,56,2019-07-29
Mitigation,27,2019-07-29
Mitigation,174,2019-08-01
Mitigation,1109,2019-08-01
Mitigation,0,2019-08-05
Mitigation,96,2019-08-07
Mitigation,134,2019-08-08
Mitigation,1386,2019-08-09
Mitigation,47,2019-08-12
Mitigation,95,2019-08-15
Mitigation,45,2019-08-16
Mitigation,515,2019-08-19
Mitigation,4375,2019-08-22
Mitigation,167,2019-08-22
Mitigation,52,2019-08-29
Mitigation,195,2019-09-06
Mitigation,16,2019-09-06
Mitigation,156,2019-09-06
Mitigation,69,2019-09-09
Mitigation,9,2019-09-11
Mitigation,0,2019-09-11
Mitigation,22,2019-09-11
Mitigation,85,2019-09-11
Mitigation,68,2019-09-13
Mitigation,70,2019-09-16
Mitigation,2,2019-09-24
Mitigation,77,2019-09-24
Mitigation,532,2019-09-25
Mitigation,5,2019-09-25
Mitigation,12,2019-09-25
Mitigation,18,2019-09-26
Mitigation,219,2019-09-26
Mitigation,375,2019-09-26
Mitigation,17,2019-09-27
Mitigation,131,2019-09-30
Mitigation,228,2019-10-04
Mitigation,17,2019-10-08
Mitigation,240,2019-10-16
Mitigation,221,2019-10-18
Mitigation,43,2019-10-30
Mitigation,0,2019-11-05
Mitigation,365,2019-11-05
Mitigation,45,2019-11-07
Mitigation,0,2019-11-07
Mitigation,0,2019-11-07
Mitigation,124,2019-11-12
Mitigation,4,2019-11-20
Mitigation,174,2019-11-20
Mitigation,356,2019-11-22
Mitigation,45,2019-12-04
Mitigation,84,2019-12-05
Mitigation,21020,2019-12-11
Mitigation,1080,2020-01-03
Mitigation,41,2020-01-06
Mitigation,139,2020-01-06
Mitigation,105,2020-01-06
Mitigation,84,2020-01-17
Mitigation,9,2020-01-24
Mitigation,31,2020-01-28
Mitigation,123,2020-02-06
Mitigation,14,2020-02-07
Mitigation,92,2020-02-12
Mitigation,0,2020-02-17
