Label,TP,FP,FN,TN,accuracy,   precision,    recall,  f1-score,   support,class weight,L threshold f1,L Residual distance,L CW* RD,N threshold f1,N Residual distance,N CW* RD
C1,1,1,1,0,0.33,0.50,0.50,0.50,3,0.06,0.8,-0.30,-0.02,0.70,-0.20,-0.01
C2,2,0,1,0,0.67,1.00,0.67,0.80,3,0.06,0.8,0.00,0.00,0.70,0.10,0.01
C3,1,1,1,0,0.33,0.50,0.50,0.50,3,0.06,0.8,-0.30,-0.02,0.70,-0.20,-0.01
C4,1,0,1,1,0.67,1.00,0.50,0.67,3,0.06,0.8,-0.13,-0.01,0.70,-0.03,0.00
C5,1,1,1,1,0.50,0.50,0.50,0.50,4,0.08,0.75,-0.25,-0.02,0.70,-0.20,-0.02
C6,2,1,1,0,0.50,0.67,0.67,0.67,4,0.08,0.75,-0.08,-0.01,0.70,-0.03,0.00
C7,2,1,1,1,0.60,0.67,0.67,0.67,5,0.10,0.7,-0.03,0.00,0.70,-0.03,0.00
C8,1,1,2,1,0.40,0.50,0.33,0.40,5,0.10,0.7,-0.30,-0.03,0.70,-0.30,-0.03
C9,2,0,2,1,0.60,1.00,0.50,0.67,5,0.10,0.7,-0.03,0.00,0.70,-0.03,0.00
C10,1,2,2,1,0.33,0.33,0.33,0.33,6,0.13,0.70,-0.36,-0.05,0.70,-0.37,-0.05
C11,2,2,3,1,0.38,0.50,0.40,0.44,8,0.17,0.69,-0.25,-0.04,0.70,-0.26,-0.04
C12,5,2,2,1,0.60,0.71,0.71,0.71,10,0.21,0.69,0.03,0.01,0.70,0.02,0.00
C13,12,3,2,2,0.74,0.80,0.86,0.83,19,0.40,0.67,0.16,0.06,0.69,0.13,0.05
C14,26,4,9,9,0.73,0.87,0.74,0.80,48,1.00,0.60,0.20,0.20,0.65,0.15,0.15
